#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 6 and 7. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57849.0670,0.74481911,0.91136535,0.60755858
57849.0682,0.48521225,0.62858001,0.37718405
57849.0693,0.50897114,0.65703196,0.39989186
57849.0705,0.54377158,0.68505883,0.42245159
57849.0716,0.50993406,0.65682134,0.39976367
57849.0728,0.67142722,0.82755035,0.53819624
57849.0740,0.69917572,0.85556683,0.56129624
57849.0751,0.43613394,0.57109573,0.33180187
57849.0763,0.66848484,0.82722139,0.53798230
57849.0774,0.46195661,0.60078436,0.35498481
57849.0786,0.67027018,0.82777630,0.53834319
57849.0797,0.56228271,0.71497305,0.44629025
57849.0809,0.62746078,0.77295693,0.49315073
57849.0821,0.65275882,0.80450454,0.51837659
57849.0832,0.61784677,0.77520991,0.49458814
57849.0844,0.36097820,0.48815008,0.26663253
57849.0855,0.65000721,0.80710438,0.52005178
57849.0867,0.63261201,0.78173689,0.49875239
57849.0878,0.55315663,0.69978116,0.43153033
57849.0890,0.63331736,0.79282895,0.50582918
57849.0902,0.48284786,0.61669230,0.36438432
57849.0913,0.80270240,0.97460329,0.65452378
57849.0925,0.63925687,0.80022827,0.51054999
57849.0936,0.69524909,0.86046744,0.55960382
57849.0948,0.80530122,0.97960999,0.65788617
57849.0959,0.29467134,0.41485218,0.20763204
57849.0971,0.56152839,0.71560705,0.44128959
57849.0983,0.61158116,0.77561273,0.48964850
57849.0994,0.88976312,1.07151320,0.73412544
57849.1006,0.64607197,0.80712513,0.51495023
57849.1017,0.65722966,0.82628358,0.52717342
57849.1029,2.55603980,2.99501050,2.03902190
57849.1341,0.64078481,0.79897770,0.51481541
57849.1353,0.74885997,0.91164404,0.60774436
57849.1365,0.48479806,0.62810605,0.37689964
57849.1376,0.74868961,0.91136572,0.60755882
57849.1388,0.59736116,0.74249118,0.46873868
57849.1399,0.87531822,1.05106820,0.72447768
57849.1411,0.40875270,0.54271315,0.30952754
57849.1422,0.59151027,0.74193046,0.46838470
57849.1434,0.82425789,0.99570180,0.67788001
57849.1446,0.56015353,0.71387497,0.44560483
57849.1457,0.62119481,0.77108433,0.49195600
57849.1469,1.01010890,1.19176410,0.84347982
57849.1480,0.66830213,0.82866163,0.53891896
57849.1492,0.69747617,0.86210610,0.56558634
57849.1503,0.67234073,0.83368679,0.54218707
57849.1515,0.82715073,1.00416990,0.68364517
57849.1527,0.44065379,0.57702045,0.33524408
57849.1538,0.57237541,0.72261911,0.45106297
57849.1550,0.70847144,0.87039165,0.57102209
57849.1561,0.71909638,0.87815803,0.57611724
57849.1573,0.55637791,0.70751236,0.43629789
57849.1584,0.52612150,0.67961128,0.41363440
57849.1596,0.55713221,0.71310593,0.43974725
57849.1608,0.64400218,0.80309215,0.51237716
57849.1619,0.72028194,0.89140348,0.58480694
57849.1631,0.48402123,0.62783435,0.37096781
57849.1642,0.48553410,0.62689249,0.37041130
57849.1654,0.64260532,0.80704194,0.51489715
57849.1666,0.80904917,0.98431028,0.66104279
57849.1677,0.77911940,0.95335142,0.63554845
57849.1689,0.65767393,0.81771633,0.52170747
57849.1700,1.87453960,2.34485230,1.49602850
57849.2001,0.46376476,0.59982016,0.35441510
57849.2013,0.80106318,0.96713304,0.65406657
57849.2024,0.84871454,1.02300550,0.70089138
57849.2036,0.59689533,0.74240253,0.46868272
57849.2047,0.69839686,0.85500092,0.56092497
57849.2059,0.71724527,0.88344999,0.58438194
