#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 11. For details
#  of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57854.1671,0.74535755,0.91476947,0.60982792
57854.1683,0.51733037,0.66001458,0.40170719
57854.1694,0.66111194,0.81564220,0.52555306
57854.1706,0.57221377,0.72647917,0.45347244
57854.1718,0.86371787,1.04143850,0.71352037
57854.1729,0.57573346,0.72712536,0.45387580
57854.1741,0.59790573,0.75434301,0.47622080
57854.1752,0.52253694,0.66938278,0.40740899
57854.1764,0.70754150,0.87007029,0.57081126
57854.1775,0.67783846,0.84155534,0.54730437
57854.1787,0.65182338,0.81253124,0.52354854
57854.1799,0.60615029,0.75553420,0.47697281
57854.1810,0.67849296,0.84109195,0.54700300
57854.1822,0.55124744,0.69834699,0.43064592
57854.1833,0.64971966,0.81228525,0.52339003
57854.1845,0.31284609,0.43418495,0.22460174
57854.1856,0.36338249,0.49102900,0.26820503
57854.1868,0.46908399,0.60865687,0.35963644
57854.1880,0.47247216,0.61311057,0.36226799
57854.1891,0.60716252,0.76289425,0.48161925
57854.1903,0.56032766,0.71178886,0.43893505
57854.1914,0.51020854,0.65665347,0.39402973
57854.1926,0.58131165,0.73665020,0.45982126
57854.1937,0.60413103,0.76170296,0.48086718
57854.1949,0.83334787,1.01398210,0.69032533
57854.1961,0.44579164,0.58364979,0.33909568
57854.1972,0.57528360,0.72536318,0.45277584
57854.1984,0.85551126,1.03398680,0.70841500
57854.1995,0.62404607,0.77978880,0.49750950
57854.2007,0.52379115,0.66667795,0.40576273
57854.2019,0.59274012,0.74888383,0.47277440
57854.2030,0.95416378,1.22387750,0.73439666
57854.2343,0.90660919,1.08515640,0.75229718
57854.2354,0.66812496,0.83126085,0.54060936
57854.2366,0.64513503,0.80280468,0.51728130
57854.2377,0.46310361,0.60366805,0.35668870
57854.2389,0.80814422,0.97361258,0.65844865
57854.2400,0.64998612,0.80452321,0.51838862
57854.2412,0.69600450,0.86130918,0.56506352
57854.2424,0.69879758,0.86040887,0.56447287
57854.2435,0.64766828,0.80437322,0.51829198
57854.2447,0.54290318,0.69038055,0.42573330
57854.2458,0.70275968,0.86087827,0.56478082
57854.2470,0.49049922,0.63722203,0.38236975
57854.2481,0.53318768,0.91378170,0.30779198
57854.2528,0.73308678,0.89770986,0.59381452
57854.2539,0.49658497,0.63838173,0.38306564
57854.2551,0.60454309,0.76024947,0.47994959
57854.2562,0.69199913,0.85710836,0.55741925
57854.2574,0.37687303,0.50836624,0.27767480
57854.2586,0.43217774,0.57048672,0.32536774
57854.2597,0.45657601,0.59498913,0.34568374
57854.2609,0.71516003,0.88563659,0.58102356
57854.2620,0.60693153,0.76405650,0.48235298
57854.2632,0.69091967,0.85222830,0.55424551
57854.2644,0.55285650,0.70108344,0.43233340
57854.2655,0.73675481,0.90454767,0.59833757
57854.2667,0.44612304,0.58403313,0.33931840
57854.2678,0.62712687,0.78282150,0.49944438
57854.2690,0.46707830,0.60809179,0.35930255
57854.2701,0.70493110,0.95010961,0.51895952
57854.3014,0.59297952,0.74539103,0.47056938
57854.3025,0.56596079,0.71758798,0.44792251
57854.3037,0.90418038,1.08510130,0.75225904
57854.3049,0.51666845,0.66048947,0.40199622
57854.3060,0.84746102,1.02898660,0.70498920
57854.3072,0.54364349,0.68980263,0.42537692
57854.3083,0.90864093,1.08639990,0.75315928
57854.3095,0.56763013,0.71826106,0.44834265
57854.3106,0.85454584,1.03009820,0.70575082
57854.3118,0.57045220,0.71872117,0.44862985
57854.3130,0.78073586,0.94616905,0.63542791
57854.3141,0.65418828,0.80426800,0.51822418
57854.3153,0.54290503,0.69038294,0.42573478
57854.3164,0.43824065,0.57548072,0.33434952
57854.3176,0.44348139,0.64300058,0.29613980
57854.3257,0.49035162,0.63724552,0.37652858
57854.3269,0.67682132,0.84037182,0.54148741
57854.3280,0.72611215,0.89137357,0.58478732
57854.3292,0.51059498,0.66175038,0.39708817
57854.3303,0.85735702,1.03998520,0.70802844
57854.3315,0.74540696,0.91443128,0.60487536
57854.3326,0.58454451,0.73699614,0.46003719
57854.3338,0.58058604,0.73216387,0.45702086
57854.3350,0.42037139,0.55561019,0.31688315
57854.3361,0.78725139,0.95943909,0.64433981
57854.3373,0.52901076,0.75002050,0.36130430
57854.3685,0.95673231,1.13920200,0.79832930
57854.3697,0.82848960,0.99969746,0.68060028
57854.3708,1.15664490,1.36227900,0.98905353
57854.3720,1.13373700,1.33570240,0.96601455
57854.3731,1.03453460,1.22539560,0.87133462
57854.3743,1.34630370,1.55855200,1.15874670
57854.3755,0.67510905,0.83282929,0.54162939
57854.3766,0.80123111,0.97345331,0.65834093
57854.3778,0.77501261,0.94564377,0.63507515
57854.3789,0.75393235,0.91789787,0.61191346
57854.3801,0.73039294,0.88860944,0.58779480
57854.3812,0.84772562,1.03081110,0.70623920
57854.3824,0.41467331,0.54708862,0.31202301
57854.3836,0.75140009,0.91793973,0.61194136
57854.3847,0.75104197,0.91896768,0.61262664
57854.3859,0.72767940,0.89101765,0.58938777
57854.3870,0.79966656,0.97760697,0.66115003
57854.3882,0.56192880,0.86185260,0.35212726
57854.3975,0.37832595,0.50935924,0.27821719
57854.3986,0.72245614,0.89157504,0.58491950
57854.3998,0.72301632,0.89113997,0.58463406
57854.4009,0.61521716,0.76987638,0.48602711
57854.4021,0.61022415,0.76692783,0.48416567
57854.4032,0.63336461,0.79388417,0.50650242
57854.4356,0.56745341,0.71803355,0.44820064
57854.4368,0.69579978,0.85963726,0.56396665
57854.4380,0.54436314,0.68906916,0.42492462
57854.4391,0.51345076,0.66100672,0.40231104
57854.4403,0.72055368,0.88857443,0.58777164
57854.4414,0.74858866,0.91742526,0.61159839
57854.4426,0.61618369,0.77557154,0.49481886
57854.4437,0.46288233,0.60355380,0.35662119
57854.4449,0.83292726,1.00144290,0.68178861
57854.4461,0.67546019,0.83266483,0.54152244
57854.4472,0.54436498,0.69063970,0.42589311
57854.4484,0.85167801,1.02962970,0.70542982
57854.4495,0.49857681,0.63298120,0.37982501
57854.4507,0.69242898,0.86158446,0.56524411
57854.4519,0.67277912,0.83257550,0.54146434
57854.4530,0.60487840,0.75068856,0.47391373
57854.4542,1.06716370,1.26136860,0.90094249
57854.4553,0.50061776,0.64851266,0.38914478
57854.4565,0.56198257,0.71779185,0.44263689
57854.4576,0.30218580,0.42567077,0.21304671
57854.4588,0.67358010,0.98764547,0.45486915
57854.4704,0.93341124,1.12157200,0.77754274
57854.4715,1.07088310,1.40306370,0.81516837
57854.5028,0.90220175,1.08418850,0.75162618
57854.5039,0.64840173,0.80250006,0.51708502
57854.5051,0.72300144,0.88738476,0.58698470
57854.5062,0.59729979,0.74616702,0.47105926
57854.5074,0.74488391,0.91616645,0.61075921
57854.5086,0.67205955,0.83167888,0.54088122
57854.5097,0.51950983,0.66090479,0.40224900
57854.5109,0.51502921,0.66149425,0.40260776
57854.5120,0.43441426,0.57505716,0.33410343
57854.5132,0.59409927,0.74679512,0.47145578
57854.5144,0.82447606,1.00237950,0.68242626
57854.5155,0.56450413,0.72004520,0.44945632
57854.5167,0.36311178,0.48905790,0.26712839
57854.5178,0.51145876,0.66210169,0.40297747
57854.5190,0.56950334,0.71904890,0.44883442
57854.5201,0.79737141,0.97500469,0.65939012
57854.5213,0.62294698,0.77624358,0.49524763
57854.5225,0.68638508,0.85095668,0.55341851
57854.5236,0.58809474,0.75432949,0.47085677
57854.5248,0.73869522,0.93027383,0.61030791
57854.5259,0.64881745,0.81244532,0.51290111
57854.5271,0.78678493,0.96720578,0.63978448
57854.5282,0.55019591,0.71353415,0.43428100
57854.5294,0.35387617,0.52304852,0.24089478
57854.5699,0.51268936,0.65985429,0.40160962
57854.5711,0.66845950,0.83022018,0.53993256
57854.5722,0.67413284,0.83127866,0.54062095
57854.5734,0.72432651,0.88757887,0.58711310
57854.5745,0.56840997,0.71777895,0.44804171
57854.5757,0.72512979,0.88859873,0.58778771
57854.5769,0.61791284,0.77483948,0.49435180
57854.5780,0.75341447,0.91734328,0.61154374
57854.5792,0.90109803,1.08601570,0.75289293
57854.5803,0.70327816,0.86108787,0.56491833
57854.5815,0.74939408,0.91695456,0.61128460
57854.5826,0.77823572,0.94633432,0.63553891
57854.5838,0.54059228,0.69067234,0.42591324
57854.5850,0.64008888,0.80426975,0.51822531
57854.5861,0.74788204,0.91846291,0.61229014
57854.5873,0.52200923,0.66483907,0.40464353
57854.5884,0.64953755,0.80614313,0.51943240
57854.5896,0.62782564,0.78916136,0.50348924
57854.5907,0.48178856,0.63592168,0.37574636
57854.5919,0.49355753,0.65017264,0.38416681
57854.5931,0.81020482,0.99617791,0.66409857
57854.5942,0.69165730,0.86083670,0.54921850
57854.5954,0.55680071,0.71389021,0.43449771
57854.5965,0.58254653,0.74328082,0.45835503
57854.5977,0.46442540,0.62439227,0.36276672
57854.5988,0.62925818,0.79896733,0.50439238
