#
# DESCRIPTION: SWIFT-XRT count rates for Sgr A* during the 2017 EHT campaign. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# COLUMNS: time (MJD), count rate (counts/s), count rate uncertainty, exposure time (s), Observation ID
#
57848.05917,1.0032e-02,2.0919e-03,2292.55,92395006   
57848.70229,7.6822e-03,2.7161e-03,1041.37,92395004   
57849.04306,9.5340e-03,4.7670e-03,419.55 ,92395009   
57849.18102,1.1376e-02,5.0874e-03,439.53 ,92395010   
57849.31918,9.1007e-03,4.5503e-03,439.53 ,92395011   
57849.44986,7.1934e-03,4.1531e-03,417.05 ,92395012   
57849.49883,8.7288e-03,3.0861e-03,916.51 ,92395007   
57849.56594,5.4853e-03,3.8787e-03,364.61 ,92395013   
57849.69824,1.0750e-02,5.3749e-03,372.10 ,92395014   
57849.83141,3.6238e-03,2.5624e-03,551.90 ,92395015   
57849.96958,6.6370e-03,3.8318e-03,452.01 ,92395016   
57850.03959,1.6685e-02,5.8989e-03,479.48 ,92395018   
57850.17686,4.0043e-03,2.8315e-03,499.46 ,92395019   
57850.36282,3.9647e-03,2.8034e-03,504.46 ,92395020   
57850.49546,2.2752e-02,7.1947e-03,439.53 ,92395021   
57850.63827,1.3129e-02,5.3598e-03,457.01 ,92395022   
57850.76143,6.8255e-03,3.9407e-03,439.53 ,92395023   
57850.89559,1.0320e-02,4.6154e-03,484.48 ,92395024   
57851.03477,2.2773e-02,6.5741e-03,526.93 ,92395027   
57851.17339,8.9382e-03,3.9973e-03,559.40 ,92395028   
57851.30939,1.3808e-02,5.2189e-03,506.95 ,92395029   
57851.42515,1.5151e-02,5.7267e-03,462.00 ,92395030   
57851.55849,6.5644e-03,3.7900e-03,457.01 ,92395031   
57851.69113,6.5287e-03,3.7694e-03,459.51 ,92395032   
57851.82403,1.1394e-02,4.3067e-03,614.34 ,92395033   
57851.96116,8.4747e-03,4.2373e-03,471.99 ,92395034   
57852.09966,5.2688e-03,3.0420e-03,569.39 ,92395036   
57852.23777,9.8628e-03,4.4108e-03,506.95 ,92395037   
57852.36264,1.1663e-02,4.7614e-03,514.45 ,92395038   
57852.43629,1.1312e-02,5.0587e-03,442.03 ,92395039   
57852.56689,9.5886e-03,4.2881e-03,521.45 ,92395040   
57852.69809,9.6104e-03,3.9234e-03,624.33 ,92395041   
57852.82653,7.8825e-03,3.5252e-03,634.31 ,92395042   
57852.95769,6.5287e-03,3.7694e-03,459.51 ,92395043   
57853.02777,1.2917e-02,4.8822e-03,541.92 ,92395044   
57853.16505,1.2570e-02,4.7509e-03,556.90 ,92395045   
57853.41891,8.5653e-03,4.2827e-03,467.00 ,92395047   
57853.55300,5.8456e-03,4.1335e-03,342.14 ,92395048   
57853.68559,9.1701e-03,5.2943e-03,327.15 ,92395049   
57853.82445,4.6743e-03,2.6987e-03,641.81 ,92395050   
57853.96373,1.4228e-02,5.3779e-03,491.97 ,92395051   
57854.09136,9.8628e-03,4.4108e-03,506.95 ,92395052   
57854.22989,8.4747e-03,4.2373e-03,471.99 ,92395053   
57854.29187,3.8319e-03,2.7095e-03,521.94 ,92395054   
57854.56478,6.7488e-03,3.8964e-03,444.52 ,92395056   
57854.69808,1.8978e-03,1.8978e-03,526.93 ,92395057   
57854.82329,6.5111e-03,3.2555e-03,614.34 ,92395058   
57854.95866,6.0366e-03,3.4853e-03,496.97 ,92395059   
