#
# DESCRIPTION: Observed spectral energy distribution for Sgr A* around the EHT campaign in April 2017. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# COLUMNS: observatory, frequency (GHz), flux density (Jy), flux density upper error (Jy), flux density lower error (Jy), flux (erg/cm2/s), flux upper error (erg/cm2/s), flux lower error (erg/cm2/s), luminosity (nuLnu; erg/s), luminosity upper error (erg/s), luminosity lower error (erg/s)
#
# NOTE: empty entries in the upper error columns indicate an upper limit.
#
EAVN,22,1.07,0.11,0.11,2.35E-13,2.42E-14,2.42E-14,1.93E+33,1.98E+32,1.98E+32
EAVN,43,1.35,0.14,0.14,5.81E-13,6.02E-14,6.02E-14,4.76E+33,4.93E+32,4.93E+32
GMVA,86,1.9,0.2,0.2,1.63E-12,1.72E-13,1.72E-13,1.34E+34,1.41E+33,1.41E+33
GMVA,88,1.9,0.2,0.2,1.67E-12,1.76E-13,1.76E-13,1.37E+34,1.44E+33,1.44E+33
GMVA,98,2,0.2,0.2,1.96E-12,1.96E-13,1.96E-13,1.61E+34,1.61E+33,1.61E+33
GMVA,100,2.1,0.2,0.2,2.10E-12,2.00E-13,2.00E-13,1.72E+34,1.64E+33,1.64E+33
ALMA+SMA,220,2.4,0.2,0.2,5.28E-12,4.40E-13,4.40E-13,4.33E+34,3.60E+33,3.60E+33
VLT,137519,0.003,,0.001,4.13E-12,,1.38E-12,3.38E+34,,1.13E+34
Chandra+NuSTAR,568000000,1.23E-07,2.71E-08,3.51E-08,6.96E-13,1.54E-13,1.99E-13,5.70E+33,1.26E+33,1.63E+33
Chandra+NuSTAR,783700000,6.27E-08,7.42E-09,1.37E-08,4.91E-13,5.82E-14,1.07E-13,4.03E+33,4.76E+32,8.77E+32
Chandra+NuSTAR,1.08E+09,3.09E-08,1.07E-09,4.62E-09,3.33E-13,1.16E-14,4.99E-14,2.73E+33,9.48E+31,4.09E+32
Chandra+NuSTAR,1492000000,1.71E-08,1.71E-08,2.48E-09,2.55E-13,2.55E-13,3.70E-14,2.09E+33,2.09E+33,3.03E+32
Chandra+NuSTAR,2059000000,3.94E-09,4.28E-09,1.12E-09,8.10E-14,8.80E-14,2.31E-14,6.64E+32,7.21E+32,1.89E+32
Chandra X-ray (flare),1571700000,3.58E-07,3.22E-07,0.000000214,5.63E-12,5.06E-12,3.36E-12,4.61E+34,4.15E+34,2.76E+34
NuSTAR X-ray (flare),9551000000,8.25E-09,0.000000009,7.60E-09,7.88E-13,8.60E-13,7.26E-13,6.46E+33,7.04E+33,5.95E+33
